schema_version	candidate_id	policy_variant_id	contract_id	binding_kind	lifecycle_class	operation_id	owner_result_source	common_substrate_policy_options	candidate_specific_semantics_allowed	zst_policy_options	construction_authorized
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	COMMON-NON-OD1	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	STATIC_REJECTION_REQUIRED	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-RAW-UNSAFE-ALIGN-01-DENSE-ALIGN-EVIDENCE	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	OD-1-RESERVE-FIRST	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-SEQ-APPEND-01-DENSE-APPEND-MOVE	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	OD-1-RESERVE-FIRST	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_GROW	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-SEQ-APPEND-01-DENSE-APPEND-MOVE	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_GROW	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	OD-1-RESERVE-FIRST	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::CAPACITY_OVERFLOW_TRAP	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-SEQ-APPEND-01-DENSE-APPEND-MOVE	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::CAPACITY_OVERFLOW_TRAP	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	OD-1-RESERVE-FIRST	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::OOM_ABORT	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-SEQ-APPEND-01-DENSE-APPEND-MOVE	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::OOM_ABORT	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	OD-1-RECOVERABLE-MUTATORS	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-SEQ-APPEND-01-DENSE-APPEND-MOVE	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	OD-1-RECOVERABLE-MUTATORS	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-SEQ-APPEND-01-DENSE-APPEND-MOVE	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	OD-1-RECOVERABLE-MUTATORS	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::CAPACITY_ERROR_RETURN	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-SEQ-APPEND-01-DENSE-APPEND-MOVE	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::CAPACITY_ERROR_RETURN	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	OD-1-RECOVERABLE-MUTATORS	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::ALLOCATION_ERROR_RETURN	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-SEQ-APPEND-01-DENSE-APPEND-MOVE	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::ALLOCATION_ERROR_RETURN	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	COMMON-NON-OD1	DENSE-BOX-INIT-EVIDENCE::BOX-INIT-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	STATIC_REJECTION_REQUIRED	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-BOX-INIT-01-DENSE-BOX-INIT-EVIDENCE	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-BOX-INIT-EVIDENCE::BOX-INIT-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	COMMON-NON-OD1	DENSE-CLEAR::SEQ-TRUNCATE-01::COMMON-NON-OD1::EMPTY_NO_CHANGE	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-SEQ-TRUNCATE-01-DENSE-CLEAR	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-CLEAR::SEQ-TRUNCATE-01::COMMON-NON-OD1::EMPTY_NO_CHANGE	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	COMMON-NON-OD1	DENSE-CLEAR::SEQ-TRUNCATE-01::COMMON-NON-OD1::ALL_VALUES_DESTROYED	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-SEQ-TRUNCATE-01-DENSE-CLEAR	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-CLEAR::SEQ-TRUNCATE-01::COMMON-NON-OD1::ALL_VALUES_DESTROYED	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	COMMON-NON-OD1	DENSE-CLONE-FROM::TRAIT-CLONE-01::COMMON-NON-OD1::SUCCESS	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-TRAIT-CLONE-01-DENSE-CLONE-FROM	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-CLONE-FROM::TRAIT-CLONE-01::COMMON-NON-OD1::SUCCESS	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	COMMON-NON-OD1	DENSE-CLONE-FROM::TRAIT-CLONE-01::COMMON-NON-OD1::BOUNDS_TRAP	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-TRAIT-CLONE-01-DENSE-CLONE-FROM	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-CLONE-FROM::TRAIT-CLONE-01::COMMON-NON-OD1::BOUNDS_TRAP	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	COMMON-NON-OD1	DENSE-CLONE-FROM::TRAIT-CLONE-01::COMMON-NON-OD1::BEHAVIOR_ABORT	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-TRAIT-CLONE-01-DENSE-CLONE-FROM	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-CLONE-FROM::TRAIT-CLONE-01::COMMON-NON-OD1::BEHAVIOR_ABORT	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	COMMON-NON-OD1	DENSE-CLONE-FROM::VIEW-CLONE-01::COMMON-NON-OD1::SUCCESS	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-VIEW-CLONE-01-DENSE-CLONE-FROM	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-CLONE-FROM::VIEW-CLONE-01::COMMON-NON-OD1::SUCCESS	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	COMMON-NON-OD1	DENSE-CLONE-FROM::VIEW-CLONE-01::COMMON-NON-OD1::BOUNDS_TRAP	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-VIEW-CLONE-01-DENSE-CLONE-FROM	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-CLONE-FROM::VIEW-CLONE-01::COMMON-NON-OD1::BOUNDS_TRAP	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	COMMON-NON-OD1	DENSE-CLONE-FROM::VIEW-CLONE-01::COMMON-NON-OD1::BEHAVIOR_ABORT	PROVE_EXACT_OUTCOME	LEXICAL_OPEN_EXITS_REJECTED	OP-ATOMIC_TRANSITIONS-ADAPTER-VIEW-CLONE-01-DENSE-CLONE-FROM	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv::DENSE-CLONE-FROM::VIEW-CLONE-01::COMMON-NON-OD1::BEHAVIOR_ABORT	OD-0-COMMON-EXPERIMENTAL-SUBSTRATE,OD-0-SEPARATE-PREREQUISITE-LOCKS	NO	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
