subject_kind	subject_identity	parent_evidence_identity	cluster_id	evidence_kind	target_id	target_ordinal	terminal_disposition	member_contract_ids	required_predecessor_family_ids	required_predecessor_gate_stage_ids	blocked_claims	target_authority	member_authority
DIRECT_EVIDENCE	89086968dadb5460df698e561685b1d7ab4b75af4dbb631d8bcb8303fa8fb10d	NONE	ARR-VIEW-01	STABLE_SAFE_SURFACE	F-DENSE	1	REFINED_IN_LOCK	DENSE-FIXED-VIEW	NONE	NONE	NONE	EXACT_CLOSED_DIRECT_TARGET_ASSIGNMENT:57a538de0cb1d377481864f4e626e68b485970dd9cc61f51e2cf15953bc2f2e8	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:57a538de0cb1d377481864f4e626e68b485970dd9cc61f51e2cf15953bc2f2e8
DIRECT_EVIDENCE	5d16e9d4c39e5c2cc84015345e9e453f393daaa20c67851fd3e6b88841b17fc0	NONE	ARR-VIEW-01	STABLE_SAFE_SURFACE	F-DENSE	1	REFINED_IN_LOCK	DENSE-FIXED-VIEW	NONE	NONE	NONE	EXACT_CLOSED_DIRECT_TARGET_ASSIGNMENT:1bcad006ea69cb702316b78ec7ee14d7500f7bb97afb9902540155bbf81c0d2d	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:1bcad006ea69cb702316b78ec7ee14d7500f7bb97afb9902540155bbf81c0d2d
DIRECT_EVIDENCE	7acc4f84183b6b3827d0f110f4791ade549644995cad8b77018cb34157e9bf48	NONE	ARR-EACH-01	STABLE_SAFE_SURFACE	F-DENSE	1	REFINED_IN_LOCK	DENSE-FIXED-EACH	NONE	NONE	NONE	EXACT_CLOSED_DIRECT_TARGET_ASSIGNMENT:a5a23de8d3264cb3ac380bf1306d3aa62329a9a81536dc525b96e750cb6570de	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:a5a23de8d3264cb3ac380bf1306d3aa62329a9a81536dc525b96e750cb6570de
DIRECT_EVIDENCE	bec6d4313e6603e5f20091e969b0f2785bbc775a1922c92099e3a4546fe65f9b	NONE	ARR-EACH-01	STABLE_SAFE_SURFACE	F-DENSE	1	REFINED_IN_LOCK	DENSE-FIXED-EACH	NONE	NONE	NONE	EXACT_CLOSED_DIRECT_TARGET_ASSIGNMENT:ca2b2abe1ce5ee4e70f60783c0505000506c5fe9acc464de04cbb92685e31e28	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:ca2b2abe1ce5ee4e70f60783c0505000506c5fe9acc464de04cbb92685e31e28
DIRECT_EVIDENCE	dcbe02b3d7069adae0c3a871710e2f115c52b4cfe3060aafab85cf7a1414367d	NONE	ARR-MAP-01	STABLE_SAFE_SURFACE	F-DENSE	1	REFINED_IN_LOCK	DENSE-FIXED-MAP	NONE	NONE	NONE	EXACT_CLOSED_DIRECT_TARGET_ASSIGNMENT:246974c70c7314e9ed0faf7f9c2aecf4c0d473e923216a7bef619ce15cebb84e	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:246974c70c7314e9ed0faf7f9c2aecf4c0d473e923216a7bef619ce15cebb84e
DIRECT_EVIDENCE	91caa718b128ecedce452dff4c354f6cda4f6ec6a00d2a7db548893a2124381a	NONE	VIEW-META-01	STABLE_SAFE_SURFACE	F-DENSE	1	REFINED_IN_LOCK	DENSE-VIEW-META	NONE	NONE	NONE	EXACT_CLOSED_DIRECT_TARGET_ASSIGNMENT:6b8d2f4fdde874c0caa52fd2d282cfd52514b4c22dc69d1a8db157efd3d69745	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:6b8d2f4fdde874c0caa52fd2d282cfd52514b4c22dc69d1a8db157efd3d69745
DIRECT_EVIDENCE	37853ed2957b38fc3804cb8c90a522b228e90da3df28f57ccd06a6dcc676ada9	NONE	VIEW-META-01	STABLE_SAFE_SURFACE	F-DENSE	1	REFINED_IN_LOCK	DENSE-VIEW-META	NONE	NONE	NONE	EXACT_CLOSED_DIRECT_TARGET_ASSIGNMENT:a8a3a26edcb3810d378d8adf6d6a463e4aaa7203f992f12ec1c89c24b375333b	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:a8a3a26edcb3810d378d8adf6d6a463e4aaa7203f992f12ec1c89c24b375333b
DIRECT_EVIDENCE	d7547cb78d5acc53cce5f15049ab0477e571ad60c900fdd591e92347eb154c7d	NONE	VIEW-GET-01	STABLE_SAFE_SURFACE	F-DENSE	1	REFINED_IN_LOCK	DENSE-VIEW-GET-SHARED	NONE	NONE	NONE	EXACT_CLOSED_DIRECT_TARGET_ASSIGNMENT:2a361c504e44900ca9a49822bfa86ecd92be19a28a7e3a4bf392a9527c15544a	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:2a361c504e44900ca9a49822bfa86ecd92be19a28a7e3a4bf392a9527c15544a
DIRECT_EVIDENCE	1e9adcd3251c01fa34516de2e056a234618ef7ae8659efdd317829e54cb5fd60	NONE	VIEW-GET-02	STABLE_SAFE_SURFACE	F-DENSE	1	REFINED_IN_LOCK	DENSE-VIEW-GET-UNIQ	NONE	NONE	NONE	EXACT_CLOSED_DIRECT_TARGET_ASSIGNMENT:27d6f081f475acad5c4345dc5c51bb621963e2d64fdd6d7eef54b4b2fbb3398f	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:27d6f081f475acad5c4345dc5c51bb621963e2d64fdd6d7eef54b4b2fbb3398f
DIRECT_EVIDENCE	5b227ebf316bd38db865d7b43ba14db1660473dc93f958e44528390d2509149c	NONE	VIEW-END-01	STABLE_SAFE_SURFACE	F-DENSE	1	REFINED_IN_LOCK	DENSE-VIEW-END	NONE	NONE	NONE	EXACT_CLOSED_DIRECT_TARGET_ASSIGNMENT:5c17a8dd52155d6c1fc5e853deb498e25ccabfc8a9f548882dbfeaf41f57fa9c	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:5c17a8dd52155d6c1fc5e853deb498e25ccabfc8a9f548882dbfeaf41f57fa9c
