subject_kind	subject_identity	parent_evidence_identity	cluster_id	target_id	member_contract_id	outcome_id	unit_status	mapping_authority	outcome_binding_authority
DIRECT_EVIDENCE	89086968dadb5460df698e561685b1d7ab4b75af4dbb631d8bcb8303fa8fb10d	NONE	ARR-VIEW-01	F-DENSE	DENSE-FIXED-VIEW	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	MEMBER_EXACT_OUTCOME_BINDING_REQUIRED	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:57a538de0cb1d377481864f4e626e68b485970dd9cc61f51e2cf15953bc2f2e8	DECLARATIVE_CONTRACT_REGISTRY_REQUIRED_BEFORE_LOCK_CLOSE
DIRECT_EVIDENCE	5d16e9d4c39e5c2cc84015345e9e453f393daaa20c67851fd3e6b88841b17fc0	NONE	ARR-VIEW-01	F-DENSE	DENSE-FIXED-VIEW	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	MEMBER_EXACT_OUTCOME_BINDING_REQUIRED	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:1bcad006ea69cb702316b78ec7ee14d7500f7bb97afb9902540155bbf81c0d2d	DECLARATIVE_CONTRACT_REGISTRY_REQUIRED_BEFORE_LOCK_CLOSE
DIRECT_EVIDENCE	7acc4f84183b6b3827d0f110f4791ade549644995cad8b77018cb34157e9bf48	NONE	ARR-EACH-01	F-DENSE	DENSE-FIXED-EACH	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	MEMBER_EXACT_OUTCOME_BINDING_REQUIRED	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:a5a23de8d3264cb3ac380bf1306d3aa62329a9a81536dc525b96e750cb6570de	DECLARATIVE_CONTRACT_REGISTRY_REQUIRED_BEFORE_LOCK_CLOSE
DIRECT_EVIDENCE	bec6d4313e6603e5f20091e969b0f2785bbc775a1922c92099e3a4546fe65f9b	NONE	ARR-EACH-01	F-DENSE	DENSE-FIXED-EACH	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	MEMBER_EXACT_OUTCOME_BINDING_REQUIRED	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:ca2b2abe1ce5ee4e70f60783c0505000506c5fe9acc464de04cbb92685e31e28	DECLARATIVE_CONTRACT_REGISTRY_REQUIRED_BEFORE_LOCK_CLOSE
DIRECT_EVIDENCE	dcbe02b3d7069adae0c3a871710e2f115c52b4cfe3060aafab85cf7a1414367d	NONE	ARR-MAP-01	F-DENSE	DENSE-FIXED-MAP	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	MEMBER_EXACT_OUTCOME_BINDING_REQUIRED	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:246974c70c7314e9ed0faf7f9c2aecf4c0d473e923216a7bef619ce15cebb84e	DECLARATIVE_CONTRACT_REGISTRY_REQUIRED_BEFORE_LOCK_CLOSE
DIRECT_EVIDENCE	91caa718b128ecedce452dff4c354f6cda4f6ec6a00d2a7db548893a2124381a	NONE	VIEW-META-01	F-DENSE	DENSE-VIEW-META	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	MEMBER_EXACT_OUTCOME_BINDING_REQUIRED	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:6b8d2f4fdde874c0caa52fd2d282cfd52514b4c22dc69d1a8db157efd3d69745	DECLARATIVE_CONTRACT_REGISTRY_REQUIRED_BEFORE_LOCK_CLOSE
DIRECT_EVIDENCE	37853ed2957b38fc3804cb8c90a522b228e90da3df28f57ccd06a6dcc676ada9	NONE	VIEW-META-01	F-DENSE	DENSE-VIEW-META	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	MEMBER_EXACT_OUTCOME_BINDING_REQUIRED	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:a8a3a26edcb3810d378d8adf6d6a463e4aaa7203f992f12ec1c89c24b375333b	DECLARATIVE_CONTRACT_REGISTRY_REQUIRED_BEFORE_LOCK_CLOSE
DIRECT_EVIDENCE	d7547cb78d5acc53cce5f15049ab0477e571ad60c900fdd591e92347eb154c7d	NONE	VIEW-GET-01	F-DENSE	DENSE-VIEW-GET-SHARED	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	MEMBER_EXACT_OUTCOME_BINDING_REQUIRED	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:2a361c504e44900ca9a49822bfa86ecd92be19a28a7e3a4bf392a9527c15544a	DECLARATIVE_CONTRACT_REGISTRY_REQUIRED_BEFORE_LOCK_CLOSE
DIRECT_EVIDENCE	1e9adcd3251c01fa34516de2e056a234618ef7ae8659efdd317829e54cb5fd60	NONE	VIEW-GET-02	F-DENSE	DENSE-VIEW-GET-UNIQ	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	MEMBER_EXACT_OUTCOME_BINDING_REQUIRED	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:27d6f081f475acad5c4345dc5c51bb621963e2d64fdd6d7eef54b4b2fbb3398f	DECLARATIVE_CONTRACT_REGISTRY_REQUIRED_BEFORE_LOCK_CLOSE
DIRECT_EVIDENCE	5b227ebf316bd38db865d7b43ba14db1660473dc93f958e44528390d2509149c	NONE	VIEW-END-01	F-DENSE	DENSE-VIEW-END	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	MEMBER_EXACT_OUTCOME_BINDING_REQUIRED	EXACT_CLOSED_DIRECT_MEMBER_ASSIGNMENT:5c17a8dd52155d6c1fc5e853deb498e25ccabfc8a9f548882dbfeaf41f57fa9c	DECLARATIVE_CONTRACT_REGISTRY_REQUIRED_BEFORE_LOCK_CLOSE
